Flight No.;Launch site;Payload;Payload mass;Orbit;Customer;Launch outcome;Version Booster;Booster landing;Date;Time
1;CCAFS;Dragon Spacecraft Qualification Unit;0;LEO;SpaceX;Success;F9 v1.0B0003.1;Failure;04/Jun/10;04/Jun/10
2;CCAFS;Dragon;0;LEO;NASA;Success;F9 v1.0B0004.1;Failure;08/Dec/10;08/Dec/10
3;CCAFS;Dragon;525 kg;LEO;NASA;Success;F9 v1.0B0005.1;No attempt;22/May/12;22/May/12
4;CCAFS;SpaceX CRS-1;4,700 kg;LEO;NASA;Success;F9 v1.0B0006.1;No attempt;08/Oct/12;08/Oct/12
5;CCAFS;SpaceX CRS-2;4,877 kg;LEO;NASA;Success;F9 v1.0B0007.1;No attempt;01/Mar/13;01/Mar/13
6;VAFB;CASSIOPE;500 kg;Polar orbit;MDA;Success;F9 v1.1B1003;Uncontrolled;29/Sep/13;29/Sep/13
7;CCAFS;SES-8;3,170 kg;GTO;SES;Success;F9 v1.1;No attempt;03/Dec/13;03/Dec/13
8;CCAFS;Thaicom 6;3,325 kg;GTO;Thaicom;Success;F9 v1.1;No attempt;06/Jan/14;06/Jan/14
9;Cape Canaveral;SpaceX CRS-3;2,296 kg;LEO;NASA;Success;F9 v1.1;Controlled;18/Apr/14;18/Apr/14
10;Cape Canaveral;Orbcomm-OG2;1,316 kg;LEO;Orbcomm;Success;F9 v1.1;Controlled;14/Jul/14;14/Jul/14
11;Cape Canaveral;AsiaSat 8;4,535 kg;GTO;AsiaSat;Success;F9 v1.1;No attempt;05/Aug/14;05/Aug/14
12;Cape Canaveral;AsiaSat 6;4,428 kg;GTO;AsiaSat;Success;F9 v1.1;No attempt;07/Sep/14;07/Sep/14
13;Cape Canaveral;SpaceX CRS-4;2,216 kg;LEO;NASA;Success;F9 v1.1;Uncontrolled;21/Sep/14;21/Sep/14
14;Cape Canaveral;SpaceX CRS-5;2,395 kg;LEO;NASA;Success;F9 v1.1;Failure;10/Jan/15;10/Jan/15
15;Cape Canaveral;DSCOVR;570 kg;HEO;USAF;Success;F9 v1.1;Controlled;11/Feb/15;11/Feb/15
16;Cape Canaveral;ABS-3A;4,159 kg;GTO;ABS;Success;F9 v1.1;No attempt;02/Mar/15;02/Mar/15
17;Cape Canaveral;SpaceX CRS-6;1,898 kg;LEO;NASA;Success;F9 v1.1;Failure;14/Apr/15;14/Apr/15
18;Cape Canaveral;TürkmenÄlem 52°E / MonacoSAT;4,707 kg;GTO;;Success;F9 v1.1;No attempt;27/Apr/15;27/Apr/15
19;Cape Canaveral;SpaceX CRS-7;1,952 kg;LEO;NASA;Failure;F9 v1.1;Precluded;28/Jun/15;28/Jun/15
20;Cape Canaveral;Orbcomm-OG2;2,034 kg;LEO;Orbcomm;Success;F9 FT;Success;22/Dec/15;22/Dec/15
21;VAFB;Jason-3;553 kg;LEO;NASA;Success;F9 v1.1;Failure;17/Jan/16;17/Jan/16
22;Cape Canaveral;SES-9;5,271 kg;GTO;SES;Success;F9 FT;Failure;04/Mar/16;04/Mar/16
23;Cape Canaveral;SpaceX CRS-8;3,136 kg;LEO;NASA;Success;F9 FT;Success;08/Apr/16;08/Apr/16
24;Cape Canaveral;JCSAT-14;4,696 kg;GTO;SKY Perfect JSAT Group;Success;F9 FT;Success;06/May/16;06/May/16
25;Cape Canaveral;Thaicom 8;3,100 kg;GTO;Thaicom;Success;F9 FT;Success;27/May/16;27/May/16
26;Cape Canaveral;ABS-2A;3,600 kg;GTO;ABS;Success;F9 FT;Failure;15/Jun/16;15/Jun/16
27;Cape Canaveral;SpaceX CRS-9;2,257 kg;LEO;NASA;Success;F9 FT;Success;18/Jul/16;18/Jul/16
28;Cape Canaveral;JCSAT-16;4,600 kg;GTO;SKY Perfect JSAT Group;Success;F9 FT;Success;14/Aug/16;14/Aug/16
29;VAFB;Iridium NEXT;9,600 kg;Polar;Iridium Communications;Success;F9 FT;Success;14/Jan/17;14/Jan/17
30;KSC;SpaceX CRS-10;2,490 kg;LEO;NASA;Success;F9 FT;Success;19/Feb/17;19/Feb/17
31;KSC;EchoStar 23;5,600 kg;GTO;EchoStar;Success;F9 FT;No attempt;16/Mar/17;16/Mar/17
32;KSC;SES-10;5,300 kg;GTO;SES;Success;F9 FT♺;Success;30/Mar/17;30/Mar/17
33;KSC;NROL-76;C;LEO;NRO;Success;F9 FT;Success;01/May/17;01/May/17
34;KSC;Inmarsat-5 F4;6,070 kg;GTO;Inmarsat;Success;F9 FT;No attempt;15/May/17;15/May/17
35;KSC;SpaceX CRS-11;2,708 kg;LEO;NASA;Success;F9 FT;Success;03/Jun/17;03/Jun/17
36;KSC;BulgariaSat-1;3,669 kg;GTO;Bulsatcom;Success;F9 FTB1029.2;Success;23/Jun/17;23/Jun/17
37;VAFB;Iridium NEXT;9,600 kg;LEO;Iridium Communications;Success;F9 FT;Success;25/Jun/17;25/Jun/17
38;KSC;Intelsat 35e;6,761 kg;GTO;Intelsat;Success;F9 FT;No attempt;05/Jul/17;05/Jul/17
